sale_id,product_id,client_name,selling_price,quantity,sale_date
1,1,ClientA,4200,2,2026-01-20
2,2,ClientB,1300,3,2026-01-22
3,3,ClientA,1800,1,2026-01-25
4,4,ClientC,220,5,2026-01-28
5,5,ClientB,130,4,2026-02-01
6,6,ClientD,500,2,2026-02-05
7,7,ClientA,320,3,2026-02-08
8,8,ClientC,280,2,2026-02-10
9,9,ClientB,200,1,2026-02-12
10,10,ClientD,900,1,2026-02-15
11,1,ClientA,4500,1,2026-03-20
12,2,ClientC,1250,2,2026-03-22
13,3,ClientB,1700,2,2026-03-25
14,4,ClientD,210,3,2026-03-28
15,6,ClientA,600,1,2026-03-30
16,7,ClientC,350,2,2026-04-02
17,1,ClientB,4100,1,2026-04-05
18,5,ClientD,120,5,2026-04-06
